PC1,PC2,PC3
-34.5303659441989,4.111124781392858,-10.659245797729726
-22.859020821443455,20.480804790284736,9.394642462946816
-20.281051539461075,-4.007773465498475,5.823286219097658
3.602940968775804,-1.227330793962562,8.054401633352901
15.172634851675566,-12.973165927678647,25.749001716737613
19.429916228714806,-8.55881261041117,25.603449318710567
21.73743501809494,-26.02410513953851,-19.600684136366393
1.1163510238922,2.799114079501805,-9.713838884638896
-1.3448372643796365,29.545434142072143,11.783589502712749
2.2101807658864683,10.5416840233615,-22.640980009096893
-33.50120420761626,-24.907314995847848,-3.557951932829591
14.714056990114669,-14.533980399544225,-6.560237640480267
34.532963929944955,24.75432151586843,-13.675432452416567
