CID,PC1,PC2,PC3,PC4,PC5
58,-13.961840723643816,-11.548901917908617,19.05919582012704,-13.235181372447268,10.94552109236243
126,-14.905667966160724,-17.221766362565436,-7.4978129347265465,-9.438730853034604,-1.866668056068563
176,-0.6198926215666442,-24.720961307740957,-1.8167454531797316,4.039817353931129,5.0962322739904415
179,9.329591246514912,13.220030299624945,18.632205332776415,6.961559349388776,1.538408597532513
180,9.495997820182984,6.034334067426208,14.584394390489493,2.405629216878469,6.236127114131896
240,27.392593001756016,-16.984227142522972,0.5782343594126604,-22.077960536994453,-5.4128821398491676
244,-4.059164286962924,-26.55034172012986,6.234119844778871,-7.380090335968942,-5.64650286423993
261,-21.514769960981678,-13.193912480055031,6.269713880624155,7.128894423024066,4.553870061972616
263,16.181449299107616,1.5751580578942035,13.462762208743898,-1.5994888754868732,-3.502564042046186
264,-22.587863610495297,-16.119856350410657,14.828732532574923,-11.691807728655396,9.128544806650838
284,-17.250462679574,-12.601230556299004,10.649289747412524,-8.11440381350958,5.5352179597386675
356,-4.691838610325815,34.50714100735671,-12.429217100925944,4.129589681652658,3.4234237511865158
379,-14.463133477932638,-9.570362013606722,14.124371283691696,-16.49251984888461,-1.1044797634499472
454,-29.771505401389216,13.111622930836633,-21.033080284137807,-19.36623222205574,4.021568279065716
460,-6.7142099308945795,-27.228408666681283,-5.828844100250316,-17.423792872062144,4.612998066871303
527,-15.33924309184898,-22.719258897982467,4.710889024569623,-0.19118506239834004,10.26394988224498
568,-1.7915120213264972,-18.57054087610181,-1.4160145054815283,17.128480789483724,4.360304407432091
650,-5.914507099618509,5.846414237153288,22.293991241105804,10.091760235921338,2.2036722221873184
702,-18.92971385375235,-23.27295946345371,0.1472835649006734,-2.015195896989773,4.04923670341024
887,-6.4366869286011275,-12.576116641272327,2.697503635397419,5.520514818665186,3.2573485216398943
931,-12.097132521486099,-9.300063433017677,-0.5288474713643256,25.00280283686496,11.278533690718591
957,-26.263018372639753,6.6742555542192274,-22.973478455054888,-18.869863677389365,6.2432322971240515
1031,-3.6122815672229374,-4.918783371810656,19.568127515954643,-9.62001816219047,9.88846964546631
1032,-1.5449338182289187,-12.42787065312102,8.270304127032137,3.504485832104539,1.5158831527111898
1140,11.727851665492992,0.3106639146777922,5.963874404911455,-4.933743074873072,-2.1616184564899688
1183,-17.91444183841771,-19.86227966849753,-12.581560586495321,-4.6694007856131625,-1.225716192528317
2758,34.57886922861245,-11.816024242568146,-3.237640446095299,24.59214857735512,-3.174771407310153
3314,-6.937286289667615,-16.430059548481,0.07234144404795112,1.9636896739108574,-5.946989685183318
3776,5.400586366705322,-12.993803173589471,3.0119693195263273,1.8410887879658133,8.263732759918527
3893,-13.639783116987608,-18.513150571512313,1.2074799644329226,-5.6365727800476435,7.148004241800092
4133,30.430554995863446,-25.500112417369287,-7.896479174990356,-14.804094311394687,-4.561506464961054
5634,-22.02112694722671,-5.7916973045023905,4.605639941091123,-13.336753750630622,2.314612161451718
6184,-21.679824303512664,17.020240693753017,4.643803737975299,-12.712709170515858,-1.1158931263177931
6276,-16.45582290369383,-28.327675165651804,-8.246467202690647,3.5449611652652497,4.260266224981799
6386,21.292098769893425,4.859652015955938,10.852016320655943,0.839037020578929,4.728806123708847
6416,16.868984787727033,-23.466866207253016,-6.681443581668139,13.186159253995315,-10.222995895753497
6417,-6.5258387948880685,-5.527916102801689,12.519551295479724,-2.1251611114407365,10.092403089047368
6425,12.368320528277698,3.1596767176579785,3.762179399591642,4.516672263919648,14.138189574336934
6501,-18.99146653223055,-4.764666644718985,4.28613437060557,-7.822495711366417,-3.028749848653855
6549,-2.1506626251117487,3.1300111494989977,-13.277660323697566,15.159903637987911,10.035465591538893
6560,11.933454302565188,-11.241015406972824,18.254931115249285,-9.52117322275919,14.338163136420244
6568,21.292098769893425,4.859652015955938,10.852016320655943,0.839037020578929,4.728806123708847
6569,23.75969080254885,2.95831650450002,1.0132304305266921,3.0800458512608646,0.38645716162345384
6584,-6.038048959573208,-3.70432879353673,10.047098809503508,3.335535372705318,-3.872531663650067
6590,-6.307569736032762,-3.7910076081783903,24.373688235895283,-8.305783586421926,9.158101650072306
6669,-12.521332598546678,-14.298000113322674,-1.115364950880559,-6.69034999380234,-11.945282334694213
6989,-0.9662351652006954,-23.129538669420633,-3.517877526407568,1.0326995339914322,-2.503269262092038
7047,3.2780097800937615,-25.641869712912793,1.8590413449732417,8.621817488280213,8.009253717173857
7144,12.029388565625036,-22.28222780264828,8.846428210428453,-13.390205637634494,-4.020482663059173
7150,31.200301682245378,-21.120173228255336,-4.555915746605141,-19.95636291058594,-5.265040315446351
7151,-8.43672660891742,-27.924075368649472,-2.5219310462352005,-1.9272961336936063,-0.7513045072453544
7169,-12.705855650220936,-21.098827855785398,-3.948177986964001,22.720287388355548,3.5728999946398137
7237,21.52529456538144,-2.301111479933818,-7.602307377746182,3.8120580420728194,4.347431493172598
7247,19.459830209421177,-12.043698737497465,-8.185943878335081,12.96676437712645,3.7383732959534335
7268,-3.1901969022570866,10.565409697221632,20.069422220664386,-7.569588204965352,-12.406941243223306
7334,-3.619496702738207,11.100862802095644,11.028671630995337,19.986120911964655,2.302966209159603
7366,19.18831604113543,0.9917302242552272,-3.502286244689933,15.898385453800232,1.6231014681993134
7406,28.057804135758193,-3.9142728002807874,-13.920199616453765,6.550914806736834,-4.748408690578276
7410,36.59240872443535,-1.5663540833483287,-4.728090587356041,-10.240541033483947,0.7345530229296741
7460,3.415895936620424,28.912739453223598,10.07055243964721,13.985666701219051,-2.447744784784064
7500,26.190885327708266,9.05121957911578,-2.1469289806753227,-5.5077912532571025,-0.8056930298543631
7507,8.247589619648373,-8.126639722275176,19.232716976994702,2.1552724718929572,8.40523019049599
7559,11.460243416414595,-14.053848799418779,-6.258622190359538,-7.600579612552814,2.1303903001090627
7581,8.958883988217744,9.82490608546033,6.277979178595072,3.763857455301967,-6.404891534315624
7583,-3.6870367390324263,-3.7208385383586777,-5.880596111722245,1.194825801116807,-14.602771474052476
7668,20.429180700006775,10.69698462282044,-9.588538205397194,1.5257694564947912,-9.744207091375255
7705,4.431057925315226,-1.3713537834980467,-18.316544239136554,3.0465658304138725,-5.524997783127988
7725,17.124632762386433,-24.517914640190277,-3.295511636457152,-6.293215120394328,-8.869723445187292
7749,-17.113560911659047,-11.72116458928828,4.53401692936731,14.37457045338275,0.006194297113963132
7761,-2.0815842916962795,11.144397022906539,13.221335836794706,-0.4772570250976272,-4.382121267706298
7762,9.16661017042476,16.427617890748472,10.233481794246956,-1.688032178276152,3.595464583955099
7765,14.953605758910273,-1.3989588805577897,14.247571210767308,15.130875745819093,11.892755252174924
7770,5.14225640510378,24.338132961764945,-1.093328187930899,-1.1179270120854412,6.535841720123297
7792,-18.366646239544114,-3.5739217576848836,-23.939920820831706,4.436459032254875,-0.5031492321121666
7795,-8.182671782727619,12.657995339688778,-7.4420229442812476,10.698272737410692,2.7833813396159375
7797,-23.55248683890865,10.503379662192865,-10.377343795859097,-15.107088705069122,4.274245243895577
7799,-30.158076653230456,13.202633449845868,-3.9596562523392853,-4.947706192281032,3.9768259182431356
7802,31.177377422331638,-7.186428465969387,-19.049668258302408,-2.7438998903891982,-7.063655501093837
7803,10.054027780249557,22.706495983015696,16.341397633430592,-3.5793333202093254,6.24224125445838
7809,17.335747619036585,-6.834694588251338,-3.2253324359245563,-0.5760337893146712,-2.3085694050523027
7824,-9.05604959413166,17.244867550147465,1.6575583674015786,-16.393387813605663,11.019883754015344
7826,-17.386246531063602,5.3259966529221545,4.865791755079245,-14.981208082509115,20.63543412092421
7895,21.018289139927486,8.59984398093919,8.474258426496117,0.46911651971598933,8.018491243519723
7929,15.919809986947554,-8.26202318209224,0.9709761627820613,6.5465651561891285,3.1663047985334996
7938,27.98773245092894,-17.923353985624807,-1.0579765507568657,-12.319574597716526,-2.6814251730595613
7943,-13.082339811340104,0.17874535906770683,0.3697831407130645,-3.294844811917286,0.6963680627106122
7947,21.82689555086457,-11.801621270214332,-8.908160074461579,8.589598783770434,-2.2312966964460474
7967,31.638749613746995,-15.70051008442823,7.102087518513458,-14.743150691554964,1.7142087225320293
7991,-25.625166680744478,-19.107349520241065,10.253148371333499,-3.7128830524974292,9.887549746289453
7997,3.2185687009177397,20.139923902551672,13.005473213978869,1.3229811971615097,7.825037165903508
8034,36.897740363133416,-6.489696607322522,-12.138011634775486,-3.115832869815983,-3.5355375963422766
8035,8.20755317275116,12.570974657095134,8.8591046768241,0.14180887194575764,-0.8195094923522871
8051,27.466471874991022,-5.069149769165176,-24.596777549952552,-13.696689359697844,-11.820980754163008
8058,15.295538678695603,2.96443649211087,-20.276603664873285,2.796396466903425,-0.1972778369289569
8060,-19.72881994375892,-6.127855366729289,14.220155609130886,11.763243282034772,5.660908316873377
8063,-20.5777005816728,-4.65907362448291,12.927436820865358,-7.581892857132111,2.527506208666933
8067,-22.373567376042125,-23.84876995551867,6.047443466936252,3.5228898103032464,11.951312969371687
8091,-35.38871479465094,1.7019626088000053,-1.9708291235552113,-9.542997910447376,14.467254626715054
8092,-30.788044618750533,16.42150815700054,2.505181647792484,5.631639489805904,3.732466118179926
8093,11.696269265561632,17.11470691807566,-16.848125681214665,-9.119998130341614,-0.6977393330711741
8103,-12.178683225999674,21.369723909544774,-6.600356554808304,-19.517904131326528,4.776372204173543
8118,-13.19748873488048,9.557220779775232,13.871327199902929,5.800248697928572,-19.24788381516886
8125,2.9906284095179414,24.49386636377769,-23.157426086742877,4.037698949328373,0.9787226911583541
8129,-17.458945929581,13.411408604136197,-7.575206705165581,-23.894734162930618,-4.056738736071786
8130,-15.095380746799249,17.80491896581694,-9.635180795852813,-23.35903876066602,16.778370085617585
8141,-18.224687280330247,21.227571506244562,-13.514904613357606,10.698746197843544,1.7609259178874055
8143,-5.946306860539745,-1.701866034722458,5.639171560034395,6.299598893321413,-12.582888521769455
8160,-3.0249693514094838,18.183044481526156,15.089951111788558,-1.5864941572607227,-5.742476689285221
8163,-35.36454059867628,1.5540336747340486,-7.378026272006578,9.28185186509755,-3.243222025855048
8174,-23.852385406414477,-0.22123449415732788,-14.820045439643923,-4.292144069499283,-4.574800792394427
8175,-41.725732414626655,-3.5944175773350016,-29.637175575610048,-7.366791236033086,-4.812942813974252
8182,-26.369827648238896,4.786916894404422,-13.234953645460834,11.675121898147594,-10.518962715710565
8184,-8.945536374720684,-14.465703920438418,3.9900718553857373,0.15266531643430137,3.1294615804356165
8194,-31.18306899636029,-12.858816027516664,-16.177445787133983,23.32757306991853,-2.702087999271634
8205,-23.95692395204784,15.556024052242476,9.837493117652723,-0.2671050453815686,-13.805479664331443
8257,24.86073418898313,-6.39760731434877,0.8808208468291899,8.422754171514155,-4.743167386067651
8369,-11.876311169132398,-4.060518816246396,-5.013140956341945,-2.4462298752451788,-8.01365464712797
8615,0.04995617165184226,-4.390213950985148,0.08184695462682393,-5.618487270332708,-12.543399040024807
8635,20.532989971772203,-9.60388056435005,-0.23966382709549008,-0.09088663238035033,-15.11784903139313
8658,8.083650207755234,-17.95581268436709,3.0047912577375593,-12.96718428709778,-7.55884938999204
8842,-11.015692409119467,-0.4910337274660941,-10.574986729232108,-6.236193737593634,-4.014222359497315
8857,-0.09385804085667628,11.934644381964532,17.26483180452763,0.07178047136344963,2.014605066901839
8858,25.97267369762211,6.88778943761534,20.292812103217656,-2.498562066680254,-3.565205433525269
8892,-5.612192116448415,9.01595244164559,10.746502850366749,-16.5558352625991,-1.0618162123619364
8900,-15.320189450289098,26.507495936840588,5.521672302572328,0.9862728487015584,-2.6698265708321642
8902,-5.423276625049831,-13.953063749438629,27.053870935898658,8.988280844267678,5.18028549921771
8908,-15.340550407063954,16.465161480102264,-19.342352468587467,-10.229569669710536,8.604116949465004
8914,-21.491335305995797,-8.00963269694853,-12.515749702304802,-3.9882207404410024,5.007473177191799
9007,-16.85362611556928,-27.47775987983939,1.447731336722117,1.4764612018541332,-1.812310536933185
9233,-2.8538869054416693,13.608646083965725,-5.610965027375832,-5.886151910215312,-3.1498838347836395
9234,29.94369104011919,-2.029348626339815,-9.649068326769058,-1.7674278957561183,2.0315757955651614
9266,27.67564343519498,9.85037135654195,-7.673430849568153,3.3258754307924696,3.9910041344624227
10263,12.414459117351806,3.3956372766895657,-0.2616074212249993,21.719071327873984,-8.256005258020448
10345,23.817048108044272,-4.243745058956855,1.0663552033223487,-5.748169497218913,2.4084246962238858
10405,-3.0364505411960554,17.202910127877445,-3.153600966921703,2.7504503387233994,1.0780228125139577
10686,22.716061275091814,-2.3846123099190755,-3.9572516221422416,10.148083066545114,3.1508399778310694
10722,21.91310395609032,-27.843319375119606,-4.237989479522632,-6.142221872323861,-4.136306888035117
10882,5.463048038440805,17.66218962288485,2.7785154609694893,-10.5734444175631,11.390068887637254
10953,-5.2293925907060155,2.1573269413073355,5.317991421179995,2.732282688726066,-5.012889171067483
10976,18.58552732128658,17.285981908125446,-0.061304425375468916,-16.090466441758686,-6.176756006574619
11005,-10.908864786881452,-16.58208137782659,-2.1894261729340787,-4.051153045801439,9.861891536173944
11006,-32.71853419066997,12.04699482001527,-2.8986745994823537,1.472267251407056,-15.080583341646335
11040,-19.8218480958972,-14.631372883946794,11.12226290227536,13.128075048610905,1.7361634956796115
11173,0.09189364902719863,17.777187577708336,22.361304771233723,1.061668178857616,0.5061738813833225
11509,22.7661142685159,10.444604917058939,-6.3417746296590005,-1.1165934223067335,-7.320827573621875
11513,27.136265384952996,18.300943199697315,12.420956395802913,5.143809604270718,-2.8473458077980385
11520,16.637285007493364,26.408687181286414,4.603255583112692,-4.29657196437853,-7.05089323462824
11529,8.773869221878968,26.840725522164306,0.3274337241525999,-7.192379404218189,5.67693909549977
11559,-6.01338032715938,-11.686232392174844,13.83468965475914,1.0828942580915908,-8.841891397846576
11569,2.588594803902674,-31.682039046032052,3.7816092476226073,-15.180574124813988,-1.6957324910362002
11579,-10.846954686174556,-11.78055006742806,1.1748366415503841,-1.9599337714163787,9.217998001340685
11583,2.2749758630044794,6.501833768662751,12.12510412854359,4.852989873828403,11.137418525437331
11617,-12.796452677410551,11.477529111470817,12.047815698240491,2.826917122046332,-17.72184668098882
11622,-14.765354034183256,-24.643765006825035,-13.91078585226698,5.208418268030776,0.007539230308414081
12105,13.658458296044326,-24.282698826095885,1.322763635600352,-13.546445255613735,-0.5528541862552113
12202,3.4091363436674214,2.2462464828841244,-19.70225401023673,1.945110231716072,-1.1648458509653437
12206,-18.175580331882067,-14.595720210325752,2.2770588329747037,15.157824671985942,3.334108094543766
12216,-4.258275490642576,12.075905181855155,-6.033253434281508,0.016419762792001143,1.9770672108304503
12243,21.093746738177984,17.51164875750696,-4.657395068096102,-0.5441571738566084,4.258119626393463
12296,7.303196386116306,16.926454490128428,15.139368007211822,-6.267049594615414,-3.2827489945384274
12297,13.560628624647965,18.639791024013515,3.174995921039584,-7.925003604167048,-0.4861601599379567
12348,-5.075435553874335,29.18073309024591,-11.440814143834697,-8.349261693044198,4.1579932511399935
12367,-9.483727769231994,13.168025072328334,-7.27404087736296,-5.811388882086641,-1.0874021160768217
12370,12.412869121209354,12.98283705101154,-27.5510762905307,-0.6210200573011357,6.184653106901853
12377,-17.364716369414555,12.077732278342943,11.839904150318544,3.664698828848296,-17.805899178756555
12388,-26.82137492648786,1.2330978486974042,-6.752071011690002,13.060050043752073,-11.439774780593677
