PC1,PC2,PC3
-34.53036594419894,4.111124781392844,-10.659245797729753
-22.859020821443476,20.480804790284783,9.394642462946813
-20.281051539461103,-4.007773465498469,5.823286219097656
3.6029409687757954,-1.2273307939625417,8.054401633352933
15.17263485167557,-12.97316592767859,25.74900171673766
19.429916228714823,-8.558812610411142,25.60344931871059
21.73743501809494,-26.02410513953856,-19.60068413636632
1.1163510238922048,2.79911407950179,-9.71383888463889
-1.3448372643796178,29.545434142072178,11.783589502712697
2.21018076588648,10.541684023361421,-22.640980009096925
-33.501204207616276,-24.907314995847848,-3.5579519328295373
14.714056990114665,-14.533980399544257,-6.560237640480287
34.53296392994501,24.7543215158684,-13.675432452416615
