CID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
58,-14.145348741733224,-12.780753986947053,20.340662515995696,11.371538443677538,-12.01522750108066,-1.3430320016149722,8.757405619116986,-7.160738493444987,3.8642057430743177,-1.3406014011329153,5.857411103433295,-0.16910708728043292,3.2305699986176855,-2.8413652199746,-3.3145762886337664,-4.458075038468271,3.861131364337934,-0.232519989842241,-2.5977155554374285,0.7925105439536667
126,-15.881720777773701,-19.28080919583011,-7.893226714019468,8.905183935921539,4.142534101850543,4.31572653971047,-6.117629801864403,-18.230844884555275,-11.595901972563594,-13.498441896614768,-8.269243884946915,11.741337792457163,3.712495505973968,-22.27915245297788,11.173648237776414,3.5703844224887638,14.253623890836462,-11.929186911417004,-14.426476556152872,-9.880367200770907
176,-0.6232939339656848,-26.12689824614711,-2.7973046071974004,-4.773564675327323,-5.112145463230565,-1.2132415665203873,-7.729151009454568,0.11827212516640623,11.359715312182505,-1.2920667908995906,0.4815952862237355,2.4620580516973636,3.9412057774596714,2.662111175596806,-1.732425223177739,-0.17568656456066042,4.6317279487324505,0.01813822745523871,2.2962044084633155,-1.1745952042565049
179,9.601847072993259,13.849750843635883,19.788686795088246,-8.533333633537925,-1.709614547827346,-9.12477605101303,-2.114569723630311,5.2982712797267455,-3.493267314762415,-1.2882660897394194,0.9892566635714808,-0.17544669207740263,3.967376464439746,0.13466661034716013,4.192782914234089,4.208364078914536,-3.7304667745862203,-0.6814670309715641,-5.377061332897056,-1.448755134643222
180,12.103838868404768,4.462938510097762,11.794070293283612,-3.575246028068629,-3.731978667378223,-8.498155326744964,-0.9560988145830399,2.5567770541262473,-2.3822684924195707,-1.9060104049866085,0.8200717402628321,-3.854795675464358,1.0409779597108635,-2.3710515048633094,1.252129777356284,0.4205793022098074,-2.4405969361928146,2.4874353294331333,-2.1414033480328363,-0.20895475496743546
240,25.316844808880763,-12.927460122836838,2.6632507598848325,19.17304963708063,3.1548749810626915,2.0328354645294513,2.6953960336327114,1.9725646580971017,-5.606535581135366,-5.781539603466226,0.6739308816566785,-2.7851179198606264,0.5095159503298341,-0.835473734322294,1.2326493801110712,1.1980537310714046,2.209977583844547,-0.5663491150550546,3.6866492669055684,1.161162654172416
244,-4.323998459876735,-27.81399982636328,6.454913675623905,5.46709919077195,6.621483700052554,4.536867561055161,4.411801045008856,-1.6183158293228723,-2.6331256721456917,-1.443432719766967,-4.676594827747598,-0.22931610459089707,6.844420540552868,-4.2094076559796365,-0.7180491168863982,-4.760932519956558,-0.05209388398950761,3.911975647218635,4.134780733478913,3.86711617390694
261,-22.193723053063426,-14.193406470931981,4.781281588819246,-8.13270231607385,-4.552304111303371,11.436923017151653,-8.564523033342436,-7.9027482492311725,1.3364637627092186,5.484656053477603,8.540083745928008,5.034669533616683,-3.824529217772556,3.0221939134025826,3.3173399493923794,7.807112589912293,7.429445307597158,1.9999294967493964,0.33897983888005806,-0.04227301431810853
263,16.488366378626473,1.9783483381422575,12.23885336621945,4.326146046986158,2.2676256976002094,-3.276349713947539,-2.16391025227959,3.1231827589418852,-1.874971389402637,0.9199996267791487,1.0840535245353857,3.987497344551116,-8.101583970798192,-2.0808345444440226,-2.207577338586369,-0.5571828087279204,-0.015419178343688346,0.6703220710376797,0.6106774791980817,-1.8007534809611045
264,-16.433750970143404,-20.404879265380803,15.002130495476157,6.2244327080935475,-9.483928956205478,2.7611201947750135,10.428316080499703,-3.2319367631861966,1.6801594178537682,-0.36744753844301076,3.2037600139661024,0.39800996771039093,-1.0169551482624273,0.4103130976828962,-3.849669374791735,-2.645495883720688,0.8558159610920851,-0.8323653407711147,2.167081258529606,-2.9686026587554806
284,-17.736729290644426,-13.70653166762998,10.898230354235485,6.031222719953738,-5.963371776329476,1.1088710338813974,2.307286885065459,-9.266583882511128,-3.4800162426352905,1.399062889413089,4.117619234423049,-6.902130377934778,2.128168970069209,-2.5924921958041347,-3.57465059623169,-7.840322851168198,2.355749419853267,9.877829820144091,-3.3949264453780756,-0.41320759971287
356,-1.3862185716642326,30.489849110113536,-13.170423000217927,1.1067515119061269,-0.5519122779070402,-2.1776082690627088,-0.16640355614012778,-1.7605580383970643,0.49648613720542983,-0.7018045481837025,-1.3622082562738838,-2.528781244196739,5.134458574111951,-1.2688774369486508,-0.9751824461076749,3.0506514418046287,0.056925272025604455,0.5054100046731269,-0.2983911804945161,4.202516780975673
379,-15.209540260565541,-10.857993230193143,15.746427196945081,14.521439357599284,2.19063812956371,4.938868236938005,2.9265280018762625,-0.8037710449295,-2.550555249253674,6.748557412232581,3.6108047139270423,-3.958943743115455,-2.7453473771835077,5.038507841751976,-2.8064639253030843,-0.07679383124926885,3.0564164656712998,-6.178732980828555,0.9652493911748078,0.7724193395995088
454,-31.139320865145283,13.814725090835312,-19.336005849758482,22.505985740710482,-1.9374539782979314,9.360056599123677,-0.5024267354061339,-2.4165601049377035,-7.130352913790566,8.581698849719816,5.695645492176635,-4.860076669747921,1.182556147812248,1.9907827964790452,-1.2393603265445674,0.4089483032250071,0.029479826561153315,-2.1715619064122724,-0.7048606071824155,1.8608463979082335
460,-7.030689412168346,-29.588232233427902,-5.707750824502744,18.916474785962723,-2.127776499890395,7.0135268853659385,-9.064321575442507,-11.602560466145093,-9.490985915608677,-22.51313712007721,-6.285356177323206,10.227153028511312,-0.5459174626701632,-17.229434380571785,8.712976387970693,7.0083669812869775,14.11631066005278,-9.998230882596703,-8.179715311020582,-0.584875084385748
527,-15.422097730694423,-23.866121788378297,4.145097134364177,0.9803514509724974,-10.888470654502552,8.904064296438731,-7.437134757666843,-0.6707018888040236,-0.7591313208625474,1.208255439918317,7.15238255144332,4.4876912544677,-3.258081196937227,5.449009908976052,-0.10738410414834323,7.791389230926901,8.350922842766616,0.6790416580831203,4.143168561145891,-6.417025347497556
568,-1.7574832665163864,-19.05556772550369,-3.515966921467017,-17.957705307389315,-5.9248582405734895,-10.9902257130424,-15.626505143225405,-0.7651987306626139,-1.4885278456429507,-1.2103155987539151,5.444774301968612,-9.741162133759675,9.172706080813056,-13.253198854879892,7.59329269857547,-19.682149914905953,-8.435279321922483,-4.453204850325842,8.560464553174318,-6.129043804581021
650,-6.043283218698466,6.117092662246543,22.407772408730185,-11.970582972367854,-3.595351040744011,-12.125711996985633,-8.3470036478369,10.54168889799808,4.252510620781622,-5.493107754817525,0.18865124379850268,-1.3713182420091732,-0.24567457096617673,-1.7244929632032535,2.4309924781471914,4.949888023135943,0.540094608178689,-4.349532323731247,0.5736252382665046,3.4093113316128814
702,-19.533361133635857,-24.185916051872027,-0.6793543563509443,1.4469185563811817,-7.697854459914237,-2.138968868808128,-0.8580301050949942,12.683465526515642,4.9427627520451525,-6.470477997290995,1.6723157537678732,-5.686566030405125,7.25095640136629,-4.563812998530908,-4.078954491143649,-6.849268320096973,4.752055198633086,10.106986952849931,-2.1776631308196412,4.9082555665310625
887,-14.754118721664343,-15.32867802643436,-1.7948612457308954,-5.972142125257763,-3.598774903064279,-4.37654405620658,6.065494903992041,-1.4847028570607503,2.3051058962181443,0.9914187427112108,-5.203570243502159,0.6431612133134825,-2.961849356685706,-7.562990658050974,-0.6512903249674603,-1.1856692862024119,-6.071321039605233,25.127302734013504,16.995099996610353,-19.129318558876285
931,-12.264744619305208,-9.59096563793755,-3.502019075098059,-25.884012074745268,-10.949869252712839,3.288464160133146,-17.33426225826427,-3.080623743598845,-13.937414689184036,2.945475335418541,9.33621120793321,5.041034683522989,3.09731454316864,7.656337534859225,-2.403718516960955,-12.25617663960878,14.935036740211714,9.913721205476868,-8.24040501941474,12.380155099165478
