,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
34,-0.6,-0.7,-0.8,-1.0,-0.8,-1.1,-0.9,-1.2,-1.0,-0.5,-1.0,-0.8,-0.5,-0.6,-0.9,-0.4,-0.2,-0.6,-0.7,-0.8,-0.6,0.0,-0.4,-0.4,0.43,-0.5,0.34,0.0,-0.4,,,,,,,,,,,,,,
35,-0.6,-1.1,-0.9,-0.9,-1.0,-0.5,-0.7,-1.0,-0.7,-0.3,-0.6,-0.4,-0.4,-0.2,-0.7,-0.4,-0.2,-0.3,-0.5,-0.7,-0.9,-0.3,0.08,-1.1,-0.2,-0.4,0.26,0.68,-0.3,-0.2,,,,,,,,,,,,,
36,-0.5,-0.4,-0.8,-0.8,-0.8,-0.6,-0.6,-0.7,-0.2,-0.2,-0.4,-0.6,-0.2,-0.1,-0.7,-0.6,-0.3,-0.4,-0.5,-0.7,-1.2,-0.2,0.16,-0.5,-0.3,-0.4,0.15,0.34,0.33,0.07,0.36,,,,,,,,,,,,
37,-0.5,0.19,-0.6,-0.5,-1.0,-1.0,-0.5,-0.3,-0.5,-0.4,-0.1,0.0,-0.2,-0.3,-0.8,-0.6,-0.7,-0.6,-0.7,-0.8,-0.7,-0.3,-0.5,-0.4,-0.2,-0.4,-0.2,-0.3,0.41,0.08,0.21,0.99,,-0.6,,,,-2.2,,,,,
38,-0.5,0.0,-0.1,-0.4,-1.0,-0.8,-0.3,0.0,-0.4,0.24,-0.3,-0.2,0.05,-0.5,-0.5,-0.9,-1.0,-0.8,-0.4,-0.3,-0.4,0.0,0.0,-0.2,-0.5,-0.1,0.12,0.0,-0.2,0.02,-0.1,0.3,0.36,-0.1,-0.8,,,-1.6,,,,,
39,-0.5,0.14,0.0,-0.5,-0.5,-1.0,-0.4,-0.4,-0.3,-0.1,-0.3,-0.2,-0.2,-0.5,-0.5,-0.8,-0.8,-0.7,-0.3,-0.1,-0.7,0.3,0.05,-0.3,-0.7,0.06,0.28,-0.1,0.22,0.2,0.62,0.02,-0.1,-0.7,-1.0,-1.0,-1.3,-0.5,,,,,
40,-0.6,0.08,-0.3,-0.3,-0.3,-0.8,-0.6,-0.6,-0.3,-0.4,-0.7,-0.5,-0.4,-0.5,-0.8,-1.1,-1.0,-0.8,-0.4,-0.5,-0.5,0.23,0.0,-0.3,-0.7,-0.3,-0.2,-0.5,0.27,0.0,0.51,0.59,-0.7,-1.8,-1.0,-0.5,-0.2,-1.5,,,,,
41,-0.5,-0.1,0.0,-0.3,-0.3,-0.4,-0.2,-0.6,-0.3,-0.4,-0.7,-0.4,-0.5,-0.5,-1.0,-0.9,-1.0,-1.0,-0.7,-0.5,-0.8,-0.3,-0.1,-0.3,-0.6,-0.4,-0.3,-0.2,-0.1,0.19,0.0,0.01,-0.7,-1.0,-1.0,-0.2,-0.4,-0.6,-0.3,0.5,,,
42,-0.4,0.11,-0.1,-0.1,-0.2,-0.4,-0.3,-0.1,-0.1,-0.2,-0.6,-0.5,-0.4,-0.5,-1.0,-1.2,-1.0,-1.0,-0.8,-0.7,-1.0,-0.4,-0.4,-0.5,-0.5,-0.2,-0.3,-0.3,-0.2,0.35,0.32,0.63,0.22,0.0,-0.5,1.07,0.45,0.27,0.64,0.8,,-0.3,
43,-0.1,0.3,-0.2,-0.2,-0.2,-0.3,-0.2,0.14,0.12,-0.1,-0.6,-0.4,-0.8,-0.6,-0.6,-1.1,-1.0,-0.8,-0.8,-0.8,-1.3,-0.4,-0.4,-0.5,-0.5,-0.4,-0.3,-0.6,-0.2,0.34,0.79,0.68,0.51,0.24,0.4,2.14,0.01,0.34,1.58,0.01,,,
44,-0.1,0.42,-0.1,-0.1,-0.1,0.12,-0.2,-0.1,0.12,0.08,0.1,0.0,-0.5,-0.6,-0.7,-1.0,-0.8,-0.9,-1.1,-0.9,-1.2,-0.7,-0.6,-0.7,-0.4,-0.6,-0.4,-0.5,-0.5,0.35,1.03,1.37,0.74,0.19,0.73,1.74,0.04,-0.2,0.02,-0.3,0.31,-0.2,
